"poisoned","lepto","ecoli","sex","ageClass","communityArea","SMI"
0,"0","0","Male","30-65","Armour Square",150.000010666449
0,"0","1","Male",">65","Armour Square",159.092296200269
0,"0","1","Male","30-65","Armour Square",143.802273143261
0,"0","1","Female","30-65","Armour Square",154.855971908547
0,"0","0","Male","30-65","Armour Square",162.476693624026
0,"0","1","Female","30-65","Armour Square",98.983100828905
0,"0","1","Female","30-65","Armour Square",105.909820457951
0,"1","1","Male","30-65","Armour Square",100.780480404817
0,"0","0","Female","30-65","Armour Square",111.693319773178
1,"0","0","Male","30-65","Armour Square",108.314447962257
0,"0","1","Male","30-65","Armour Square",126.157764843303
0,"0","0","Male","30-65","Armour Square",165.507559394263
0,"0","1","Female","30-65","Armour Square",136.503290676664
0,"0","1","Male","30-65","Armour Square",136.454487774988
0,"0","1","Male","30-65","Armour Square",124.641519805446
0,"0","1","Female","30-65","Beverly",435.960305529531
1,"0","1","Male","30-65","Edge Water",231.204289325518
0,"0","1","Female",">65","Edge Water",189.047030625851
0,"0","1","Male","30-65","Englewood",271.097188823702
1,"0","1","Male","30-65","Englewood",134.587344321081
0,"0","0","Male",">65","Englewood",132.202938796297
0,"1","0","Male","30-65","Englewood",221.580789575109
0,"0","1","Female","30-65","Forest Glen",180.298704437582
0,"0","0","Male",">65","Greater Grand Crossing",100.572389832797
0,"0","0","Female","30-65","Greater Grand Crossing",148.739323204243
0,"0","0","Male",">65","Greater Grand Crossing",130.720128682852
0,"0","1","Female","30-65","Greater Grand Crossing",131.628080708804
0,"0","1","Male","30-65","Logan Square",145.179416641537
0,"0","0","Female","30-65","Logan Square",133.763719595787
0,"0","0","Female","30-65","Logan Square",225.058368473146
0,"0","1","Male","30-65","Logan Square",135.648980512821
1,"1","1","Female",">65","Logan Square",142.481451464106
0,"0","0","Female","30-65","Logan Square",217.763833719778
0,"0","0","Female","30-65","Logan Square",269.301031478192
0,"0","0","Male","30-65","Logan Square",288.243289220774
0,"0","0","Male","30-65","Logan Square",221.29121845758
0,"0","0","Female","30-65","Logan Square",195.236540576353
0,"0","0","Female","30-65","Logan Square",164.686308698636
0,"0","0","Female",">65","Logan Square",188.117457184775
0,"0","0","Female","30-65","Logan Square",99.4549643776912
0,"0","0","Female","30-65","Logan Square",149.362000288191
0,"0","0","Male","30-65","Logan Square",80.3589819553586
0,"0","0","Female","30-65","Logan Square",105.340781311963
0,"0","0","Female","30-65","Lake View",165.248903245454
0,"0","0","Female","30-65","Lake View",156.277015921031
0,"0","1","Male","30-65","Lake View",196.090477977985
0,"0","1","Female","30-65","Lake View",179.389255120574
0,"0","1","Female",">65","Lake View",125.193324236922
0,"0","1","Male","30-65","Lake View",126.50815899356
0,"0","0","Female","30-65","Lake View",187.863677002781
0,"0","1","Female",">65","Lake View",143.803238100685
0,"0","1","Female","30-65","Lake View",177.206085819629
0,"1","1","Female",">65","Lake View",204.877905567413
0,"0","0","Male","30-65","Lake View",160.820480182367
0,"1","0","Female",">65","Lake View",372.532429300243
0,"0","0","Male","30-65","Lake View",269.694160692746
0,"0","0","Male","30-65","Lake View",128.727345038268
0,"0","0","Male","30-65","Lake View",129.663482489269
0,"0","1","Female","30-65","Lake View",80.6116834001706
0,"1","0","Female","30-65","Lake View",98.9264608165655
0,"1","0","Female","30-65","Lake View",128.238586418187
1,"0","0","Female","30-65","Lake View",125.066365436527
1,"1","0","Female","30-65","Lake View",146.058979913122
1,"1","0","Female",">65","New City",75.884999639832
0,"0","0","Female",">65","New City",143.685870461378
0,"0","0","Male","30-65","New City",112.212276532631
0,"0","0","Female","30-65","North Lawndale",147.702659801624
0,"0","1","Female","30-65","North Lawndale",252.280411523872
0,"1","1","Female",">65","North Lawndale",100.055713566667
0,"0","1","Female","30-65","North Lawndale",239.410227183627
0,"0","0","Male","30-65","North Lawndale",205.085454032021
0,"0","0","Female","30-65","Near North Side",275.639723207802
0,"0","1","Female","30-65","Near North Side",178.70844040382
0,"0","1","Female","30-65","Near North Side",170.614356831217
0,"0","1","Female","30-65","Near North Side",206.02181950563
0,"0","0","Male","30-65","Near North Side",215.602134503686
0,"0","1","Female","30-65","Near North Side",191.306391459106
0,"0","1","Male","30-65","Near North Side",225.058368473146
1,"0","1","Male","30-65","South Lawndale",159.600132940787
0,"0","0","Female",">65","South Lawndale",220.617377546527
0,"0","0","Female","30-65","South Lawndale",164.230521595361
0,"0","0","Female","30-65","South Lawndale",164.230521595361
0,"0","1","Female","30-65","South Lawndale",160.753768654734
0,"0","1","Female",">65","South Lawndale",215.977907297645
0,"0","0","Male","30-65","South Lawndale",179.091248790583
0,"0","0","Female",">65","South Lawndale",222.221103993528
0,"0","1","Female",">65","South Lawndale",158.258511399698
1,"0","0","Female","30-65","South Lawndale",196.792315232315
0,"0","1","Female","30-65","South Lawndale",145.524025017643
0,"0","0","Female",">65","South Lawndale",118.140285282369
0,"0","0","Female","30-65","South Lawndale",102.423769284488
0,"0","0","Male","30-65","Washington Park",192.082730575075
0,"0","0","Female","30-65","West Ridge",164.686308698636
1,"0","1","Female","30-65","West Ridge",174.265249187719
0,"0","0","Female","30-65","West Ridge",174.002172658504
0,"0","0","Female","30-65","West Ridge",100.483367405125
0,"0","0","Female",">65","West Ridge",99.6328945190295
0,"0","0","Female","30-65","West Ridge",110.924159614484
0,"0","0","Female","30-65","West Ridge",127.437524113343
